editor_name,base_form,path_texture,pseudo_path,name_nif
DoorMarker,00000001,MarkerTeleport.nif,markerteleport.nif,markerteleport
TravelMarker,00000002,Marker_Travel.nif,marker_travel.nif,marker_travel
NorthMarker,00000003,Marker_North.nif,marker_north.nif,marker_north
DivineMarker,00000005,Marker_Divine.nif,marker_divine.nif,marker_divine
TempleMarker,00000006,Marker_Temple.nif,marker_temple.nif,marker_temple
MapMarker,00000010,Marker_Map.NIF,marker_map.nif,marker_map
HorseMarker,00000012,Marker_Horse.nif,marker_horse.nif,marker_horse
MultiBoundMarker,00000015,,,
PlaneMarker,00000017,,,
RoomMarker,0000001F,,,
PortalMarker,00000020,,,
CollisionMarker,00000021,,,
COCMarkerHeading,00000032,MarkerCOCHeading.nif,markercocheading.nif,markercocheading
RadiationMarker,00000033,Marker_Radiation.nif,marker_radiation.nif,marker_radiation
XMarkerHeading,00000034,MarkerXHeading.nif,markerxheading.nif,markerxheading
XMarker,0000003B,MarkerX.nif,markerx.nif,markerx
CellWaterCurrentMarker,00000061,marker_current01.nif,marker_current01.nif,marker_current01
WaterCurrentMarker,00000062,marker_current01.nif,marker_current01.nif,marker_current01
FurnitureMarker01Sit,00000064,Furniture\FurnitureMarkerSit.nif,furniture/furnituremarkersit.nif,furnituremarkersit
FurnitureMarker02Lay,00000065,Furniture\FurnitureMarkerLay.nif,furniture/furnituremarkerlay.nif,furnituremarkerlay
FurnitureMarker03Lean,00000066,Furniture\FurnitureMarkerLean.nif,furniture/furnituremarkerlean.nif,furnituremarkerlean
FurnitureMarker04,00000067,,,
FurnitureMarker05,00000068,,,
AnimInteractionMarker,000000A0,MarkerTeleport.nif,markerteleport.nif,markerteleport
WaterCurrentZoneMarker,000000C4,,,
Farmhouse02,00000846,Architecture\Farmhouse\Farmhouse02.NIF,architecture/farmhouse/farmhouse02.nif,farmhouse02
Farmhouse01,0000084A,Architecture\Farmhouse\Farmhouse01.NIF,architecture/farmhouse/farmhouse01.nif,farmhouse01
FenceWoven01,000008A6,Architecture\Farmhouse\FenceWoven01.NIF,architecture/farmhouse/fencewoven01.nif,fencewoven01
FenceWoven02,000008A7,Architecture\Farmhouse\FenceWoven02.NIF,architecture/farmhouse/fencewoven02.nif,fencewoven02
Stonewall01,0000099B,Architecture\Farmhouse\Stonewall\Stonewall01.NIF,architecture/farmhouse/stonewall/stonewall01.nif,stonewall01
Stonewall01Ivy,0000099C,Architecture\Farmhouse\Stonewall\Stonewall01Ivy.NIF,architecture/farmhouse/stonewall/stonewall01ivy.nif,stonewall01ivy
Stonewall02,0000099D,Architecture\Farmhouse\Stonewall\Stonewall02.NIF,architecture/farmhouse/stonewall/stonewall02.nif,stonewall02
StonewallEndL01,0000099E,Architecture\Farmhouse\Stonewall\StonewallEndL01.NIF,architecture/farmhouse/stonewall/stonewallendl01.nif,stonewallendl01
StonewallEndL01Ivy,0000099F,Architecture\Farmhouse\Stonewall\StonewallEndL01Ivy.NIF,architecture/farmhouse/stonewall/stonewallendl01ivy.nif,stonewallendl01ivy
StonewallEndR01,000009A0,Architecture\Farmhouse\Stonewall\StonewallEndR01.NIF,architecture/farmhouse/stonewall/stonewallendr01.nif,stonewallendr01
StonewallEndR01Ivy,000009A1,Architecture\Farmhouse\Stonewall\StonewallEndR01Ivy.NIF,architecture/farmhouse/stonewall/stonewallendr01ivy.nif,stonewallendr01ivy
StonewallLong01,000009A2,Architecture\Farmhouse\Stonewall\StonewallLong01.NIF,architecture/farmhouse/stonewall/stonewalllong01.nif,stonewalllong01
StonewallTerrace01,000009C6,Architecture\Farmhouse\Stonewall\StonewallTerrace01.NIF,architecture/farmhouse/stonewall/stonewallterrace01.nif,stonewallterrace01
